review_id,aspect,topic_id,sentiment
3,minute,56,negative
3,food,9,negative
3,crazy bowl,-1,negative
3,everything gross table,411,negative
3,everything place,14,negative
3,bumper playing,-1,negative
3,u real jerk husband,-1,negative
3,youth group fun,5,negative
3,bumper,46,negative
3,almost hour ball,302,negative
3,none kid,23,negative
3,bumper plenty adult kid,-1,negative
3,around one guy,25,negative
3,mini golf need,-1,negative
3,buy mini golfsone worker,-1,negative
3,disgusting chair,208,negative
42,goodreads,-1,negative
42,really enjoyed book,45,negative
42,many read book,-1,negative
42,twin sister annika,-1,negative
42,finished long book,90,negative
42,iteven boy abby crush,-1,negative
42,everything,106,negative
42,long list book,126,negative
42,that,101,negative
42,hell,-1,negative
42,something,-1,negative
42,community college home town,7,negative
42,abby,-1,negative
42,great herall hell break,96,negative
42,life,26,negative
42,thing,-1,negative
42,first couple page,-1,negative
74,best james difficulty,300,negative
74,nathan,-1,negative
74,amp conflict,556,negative
78,quickly able follow storyline,117,negative
78,end book,90,negative
78,cup tea,290,negative
78,story butthe plot,-1,negative
78,middle chapter,40,negative
78,ad,62,negative
78,puzzle game,575,negative
107,negative star good thing,-1,negative
107,nadia,-1,negative
107,travel world,77,negative
107,simplistic writing read hour,-1,negative
107,much lower goodreadscom star,436,negative
107,bad breakup,32,negative
107,star review,174,negative
107,ever two main character,281,negative
107,dumbest book,-1,negative
121,way,119,negative
121,author name confused againbrian,1,negative
121,adolescent boy,5,negative
121,book lot issue,316,negative
121,positive review,13,negative
121,act,108,negative
121,nothing,106,negative
121,really old fashioned lingo,64,negative
121,particularly barely escape life,376,negative
121,main character female thought,273,negative
121,buddy house,71,negative
121,chapter giving,40,negative
121,hand,159,negative
128,cancer use,425,negative
138,noticed parking lot,245,negative
138,know bad kid mention,-1,negative
138,elsewhere manager,116,negative
138,n shake breakfast,-1,negative
138,booth,6,negative
138,money,-1,negative
138,door,76,negative
138,next table floor,411,negative
138,steak,147,negative
138,trash,-1,negative
138,kid,23,negative
175,aware liking,396,negative
175,trust know man,305,negative
175,president,83,negative
175,enemy territory,185,negative
175,anything,106,negative
175,danger,57,negative
175,know shifter going claim,362,negative
175,leah dead seth,-1,negative
175,somethings,-1,negative
175,special doctor,93,negative
175,lucas leah lucas,-1,negative
179,fly boy story,145,negative
179,anxious read,-1,negative
179,next installment,172,negative
179,something,-1,negative
179,simple fly boy,145,negative
179,what,-1,negative
185,understand,84,negative
185,flat paper,289,negative
185,emotion check,89,negative
186,really expected end denise,402,negative
186,much sex sex,44,negative
186,illegal dealing,-1,negative
186,one person,25,negative
186,point,183,negative
186,head water,169,negative
186,overall fact group,58,negative
186,many book,-1,negative
186,language,64,negative
186,booki,-1,negative
186,base,546,negative
186,denise meredith reporter,4,negative
186,lot downplay,-1,negative
186,mc group,567,negative
186,guy,-1,negative
186,female book abuse,-1,negative
186,one job,115,negative
186,book,16,negative
186,typical mc book,567,negative
186,source,-1,negative
186,mc book,567,negative
186,mc groupin book,567,negative
186,mean,-1,negative
186,adventure,-1,negative
186,kind good event,135,negative
186,single mother,-1,negative
187,train ride home healthier,-1,negative
191,book,16,negative
191,fast need,468,negative
191,rachel,4,negative
203,unique perspective detective couple,244,negative
203,tothe inadvertent thief thief,-1,negative
203,alcoholicwashed lawyer,444,negative
203,property,253,negative
203,real murderer,0,negative
203,fun murder mystery,0,negative
203,trial girlfriend,-1,negative
203,nice homage,254,negative
203,private investigator exwife,-1,negative
203,solving murder,0,negative
203,life,26,negative
208,time,10,negative
208,deanna deliversi,-1,negative
208,edge,-1,negative
208,downthe adventure jade kane,-1,negative
208,first page,33,negative
208,bookdidnt happenas,16,negative
216,matter obnoxious womanhaving,17,negative
216,personality transplant scott,385,negative
216,girl,5,negative
216,heroine life briannas,197,negative
216,virtue overcome obstacle,345,negative
216,regular school boy,-1,negative
216,story idea,2,negative
216,needy bottom,-1,negative
216,opinionthis series book,-1,negative
216,headed direction boymeetsgirl story,-1,negative
216,simply wise discipline,-1,negative
216,trust,449,negative
216,boy,-1,negative
217,book end middle scene,-1,negative
217,cliffhanger,-1,negative
217,book cliffhanger,250,negative
217,story,2,negative
217,first episode,414,negative
217,logical conclusion,462,negative
217,happen lot kindle book,24,negative
217,one part series,3,negative
217,additionally old school thinking,194,negative
217,next installment,172,negative
217,merit,309,negative
217,cliffhanger end,250,negative
217,every book,-1,negative
